FID,region,cut,region_1,ine,comuna,provincia,shape_leng,cont,shape_le_1,shape_area,Shape__Area,Shape__Length
3151,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2138.64066431,0,2138.58561282,165318.723377,464297.921875,3580.86682607664
3152,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1030.12655642,0,1030.10361738,65053.1232235,182725.83203125,1725.63966919451
3153,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,3628.65936172,0,3628.56838858,752729.920141,2116972.49609375,6083.81978898845
3154,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2476.25918041,0,2476.19748566,323065.16357,911348.484375,4158.31302174861
3155,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1624.09616269,0,1624.05416676,137295.558495,387289.71484375,2726.84279308329
3156,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2412.63553335,0,2412.57380859,325336.861082,914217.28125,4041.77359196245
3157,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,491.14013209,0,491.12666584,16974.7540178,47683.00390625,823.149748741756
3158,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,486.851989175,0,486.838774141,16280.9294235,45925.80078125,817.445317611893
3159,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,948.95977036,0,948.935678116,49105.9272198,138017.76171875,1589.90558978243
3160,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,2727.73100444,0,2727.65989846,321868.216589,905070.44140625,4572.39349780467
3161,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,553.921956133,0,553.910860559,19649.2310418,55264.73828125,928.586716508759
3162,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,770.151025841,0,770.130285301,39028.0886624,109800.69140625,1291.89628379492
3163,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,4945.90255559,0,4945.77690541,718077.937219,2018615.02734375,8286.11135014282
3164,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,556.240093824,0,556.226768402,21396.9072362,60185.25390625,932.651601117524
3165,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1446.22868505,0,1446.19044572,98507.9956738,276924.96484375,2423.74528823107
3166,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,1069.90293079,0,1069.87531991,81367.7069927,228969.0703125,1794.24770955995
3167,12,12101,XII,590,PUNTA ARENAS,MAGALLANES,7514.00082908,0,7513.81054325,1554030.13344,4377581.390625,12615.2843246843
